"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.736609251E0,-3.639186621E-1,5.267243981E-1,1.011191082E1
5.756775501E0,-4.118026793E-1,5.315127969E-1,1.008796883E1
5.782514168E0,-3.926490843E-1,5.650315881E-1,1.010233402E1
5.802594709E0,-4.309563041E-1,6.368576288E-1,1.011669922E1
5.826519918E0,-3.878606856E-1,6.751648784E-1,1.010712242E1
5.851461334E0,-4.453215301E-1,5.793967843E-1,1.014064121E1
5.871551376E0,-4.644751251E-1,5.363011956E-1,1.012627602E1
5.891729793E0,-4.548983276E-1,5.027823448E-1,1.016458321E1
5.916683126E0,-4.501099288E-1,4.979939461E-1,1.007839203E1
5.936941959E0,-3.926490843E-1,5.458779931E-1,1.002571964E1
5.962375084E0,-4.357447028E-1,6.368576288E-1,1.006402683E1
5.982836626E0,-4.453215301E-1,6.177040339E-1,1.011191082E1
6.006957751E0,-3.639186621E-1,5.746083856E-1,1.012627602E1
6.031574918E0,-4.357447028E-1,6.703764796E-1,9.843760490E0
6.051776293E0,-4.357447028E-1,7.374141216E-1,1.006881523E1
6.077192626E0,-3.256114423E-1,6.703764796E-1,9.920374870E0
6.102568668E0,-4.022258818E-1,6.464344859E-1,1.010233402E1
6.122852668E0,-4.453215301E-1,6.129156351E-1,1.005445004E1
6.146629918E0,-3.734954596E-1,5.410895944E-1,1.024598598E1
6.166680668E0,-4.836287498E-1,6.751648784E-1,1.009754562E1
6.191795043E0,-4.357447028E-1,7.709329724E-1,1.003529644E1
6.216696084E0,-4.357447028E-1,7.709329724E-1,1.008796883E1
6.243117918E0,-4.596867263E-1,5.937620401E-1,1.013585281E1
6.263479793E0,-4.596867263E-1,5.363011956E-1,1.017416000E1
6.286747293E0,-3.543418646E-1,5.602431893E-1,1.013106441E1
6.311535793E0,-3.926490843E-1,6.416460276E-1,1.004966164E1
6.336587751E0,-4.836287498E-1,7.852981687E-1,1.015500641E1
6.357099251E0,-4.788403511E-1,7.709329724E-1,9.953893661E0
6.382546876E0,-3.256114423E-1,6.129156351E-1,1.012627602E1
6.402842459E0,-3.878606856E-1,5.985504389E-1,1.005445004E1
6.422928334E0,-4.261679053E-1,6.320692301E-1,1.008318043E1
6.446905918E0,-3.830722570E-1,6.991068721E-1,1.012627602E1
6.471552001E0,-3.734954596E-1,7.134721279E-1,1.010712242E1
6.491739376E0,-3.734954596E-1,6.943184733E-1,1.013585281E1
6.516736251E0,-4.357447028E-1,7.852981687E-1,1.007839203E1
6.542512876E0,-4.501099288E-1,6.847416759E-1,1.010712242E1
6.562685126E0,-4.357447028E-1,6.895300746E-1,1.006881523E1
6.586673418E0,-4.740519226E-1,7.134721279E-1,1.003529644E1
6.606851793E0,-4.357447028E-1,6.751648784E-1,9.996989250E0
6.626869376E0,-4.261679053E-1,5.698199868E-1,1.016937160E1
6.651712668E0,-4.501099288E-1,5.506663918E-1,1.024598598E1
6.676841626E0,-4.118026793E-1,7.757213712E-1,1.008796883E1
6.702794084E0,-5.123591423E-1,9.911994934E-1,9.862914085E0
6.723051668E0,-4.022258818E-1,9.097966552E-1,1.018852520E1
6.746764709E0,-3.256114423E-1,8.140285611E-1,9.944316864E0
6.771585960E0,-4.501099288E-1,5.841852427E-1,1.000656605E1
6.791676418E0,-3.830722570E-1,5.410895944E-1,1.012627602E1
6.811740001E0,-3.495534360E-1,5.889736414E-1,1.018852520E1
6.831775585E0,-3.782838583E-1,7.613561153E-1,1.012627602E1
6.858195918E0,-4.022258818E-1,8.571242094E-1,1.004966164E1
6.882816626E0,-4.453215301E-1,7.900865674E-1,1.008796883E1
6.907920876E0,-4.165911078E-1,6.512228847E-1,1.015500641E1
6.931724710E0,-4.118026793E-1,5.985504389E-1,1.012627602E1
6.952253793E0,-3.687070608E-1,6.847416759E-1,1.009754562E1
6.978913876E0,-3.878606856E-1,7.709329724E-1,9.958682060E0
7.002869626E0,-4.118026793E-1,7.613561153E-1,1.013585281E1
7.022978793E0,-4.070142806E-1,7.182605267E-1,1.001135445E1
7.046897710E0,-4.501099288E-1,6.703764796E-1,1.015979481E1
7.071812210E0,-4.070142806E-1,7.086837292E-1,1.006402683E1
7.091906751E0,-3.639186621E-1,7.374141216E-1,1.012148762E1
7.116609085E0,-3.830722570E-1,8.188169599E-1,1.008318043E1
7.136751668E0,-3.782838583E-1,7.757213712E-1,1.014064121E1
7.162709918E0,-4.884171486E-1,7.613561153E-1,1.008318043E1
7.182848376E0,-4.405331016E-1,6.943184733E-1,1.010712242E1
7.202962126E0,-3.878606856E-1,6.368576288E-1,1.007360363E1
7.226585543E0,-4.022258818E-1,6.416460276E-1,1.004487324E1
7.246689626E0,-4.022258818E-1,6.799532771E-1,1.009754562E1
7.266724376E0,-4.022258818E-1,7.278373241E-1,9.992200851E0
7.292440043E0,-4.261679053E-1,7.661445141E-1,1.011191082E1
7.317049793E0,-3.639186621E-1,6.991068721E-1,1.011669922E1
7.342552418E0,-3.256114423E-1,6.655880809E-1,1.013585281E1
7.362665626E0,-4.453215301E-1,7.996633649E-1,9.829395294E0
7.382992460E0,-4.548983276E-1,7.709329724E-1,1.018852520E1
7.406945460E0,-3.064578176E-1,6.655880809E-1,1.000656605E1
7.427089793E0,-4.261679053E-1,6.655880809E-1,9.992200851E0
7.447115835E0,-4.740519226E-1,6.703764796E-1,1.004487324E1
